HR,Name,DM,HD,SAO,FK5,IRflag,r_IRflag,Multiple,GLON,GLAT,SpType,RAh,RAm,RAs,DE-,DEd,DEm,DEs
1,,BD+44 4550,3,36042,,,,,114.44,-16.88,A1Vn,00,05,09.9,+,45,13,45
2,,BD-01 4525,6,128569,,,,,98.33,-61.14,gG9,00,05,03.8,-,00,30,11
3,33    Psc,BD-06 6357,28,128572,1002,I,,,93.75,-65.93,K0IIIbCN-0.5,00,05,20.1,-,05,42,27
4,86    Peg,BD+12 5063,87,91701,2004,,,,106.19,-47.98,G5III,00,05,42.0,+,13,23,46
5,,BD+57 2865,123,21085,,,,,117.03,-03.92,G5V,00,06,16.0,+,58,26,12
6,,CD-4914337,142,214963,,,,W,321.61,-66.38,G1IV,00,06,19.0,-,49,04,30
7,10    Cas,BD+63 2107,144,10978,2005,,,,118.06,1.75,B9III,00,06,26.5,+,64,11,46
8,,BD+28 4704,166,73743,,,,,111.26,-32.83,K0V,00,06,36.8,+,29,01,17
9,,CD-23    4,203,166053,1003,,,,52.21,-79.14,A7V,00,06,50.1,-,23,06,27
10,,BD-18 6428,256,147090,,,,,74.36,-75.90,A6Vn,00,07,18.2,-,17,23,11
11,,BD-03    2,315,128595,,,,,98.02,-63.29,B8IIIpSi,00,07,44.1,-,02,32,56
12,,CD-23   13,319,166066,,,,,55.56,-79.07,A2Vp:,00,07,46.8,-,22,30,32
13,,CD-34   17,344,192367,,,,,355.91,-78.67,K1III,00,08,03.5,-,33,31,46
14,,BD-03    3,352,128602,2006,I,,,98.34,-63.24,K2III+F,00,08,12.1,-,02,26,52
15,21Alp And,BD+28    4,358,73765,1,I,,,111.73,-32.84,B8IVpMnHg,00,08,23.3,+,29,05,26
16,,BD-09    5,360,128604,,,,,91.79,-69.04,gG8,00,08,17.4,-,08,49,26
17,,BD+35    8,400,53677,,,,,113.45,-25.45,F8IV,00,08,41.0,+,36,37,36
18,,BD-18    3,402,147103,,I,,,74.69,-76.25,M0III,00,08,33.4,-,17,34,39
19,,BD+24    3,417,73769,,,,,110.97,-36.42,K0III,00,08,52.2,+,25,27,46
20,,BD+78    1,431,4048,,,,,120.98,17.00,A7IV,00,09,20.2,+,79,42,53
21,11Bet Cas,BD+58    3,432,21133,2,I,,,117.52,-03.27,F2III-IV,00,09,10.7,+,59,08,59
22,87    Peg,BD+17    7,448,91734,,,,,108.99,-43.51,G9III,00,09,02.4,+,18,12,43
23,,CP-54   19,469,231943,,,,W,316.25,-62.02,G4IV,00,09,02.4,-,54,00,07
24,Kap1Scl,CD-28   16,493,166083,,,,,25.24,-80.63,F2V,00,09,21.0,-,27,59,16
25,Eps Phe,CD-46   18,496,214983,3,,,,324.34,-69.60,K0III,00,09,24.7,-,45,44,51
26,34    Psc,BD+10    8,560,91750,,,,,106.87,-50.43,B9Vn,00,10,02.3,+,11,08,44
27,22    And,BD+45   17,571,36123,4,,,,115.52,-16.21,F2II,00,10,19.3,+,46,04,20
28,,BD+56   11,584,21162,,,,,117.38,-05.26,B7IV,00,10,29.7,+,57,09,56
29,,BD-06   11,587,128621,,,,D,96.99,-66.03,K1III,00,10,18.8,-,05,14,55
30,Gam3Oct,CP-82    4,636,258215,3971,,,,304.63,-34.77,G8III,00,10,02.1,-,82,13,26
31,,BD-13   13,645,147127,2008,,,,87.69,-72.60,K0IV,00,10,42.8,-,12,34,48
32,,CP-73    4,661,255642,,,,W,306.98,-43.58,F2V+F6V,00,10,38.6,-,73,13,28
33,6    Cet,BD-16   17,693,147133,,,,,82.24,-75.06,F7V,00,11,15.9,-,15,28,05
34,Kap2Scl,CD-28   26,720,166103,5,I,,W,26.30,-81.13,K5III,00,11,34.4,-,27,47,59
35,The Scl,CD-35   42,739,192388,6,,,,347.16,-78.34,F4V,00,11,44.0,-,35,07,59
36,,BD+47   21,743,36148,,I,,,116.16,-14.20,gK4,00,11,59.1,+,48,09,09
37,,BD-18   14,787,147144,,I,,,76.32,-77.10,K5III,00,12,10.0,-,17,56,18
38,,BD+36   12,829,53725,,,,,114.55,-24.55,B2V,00,12,50.4,+,37,41,36
39,88Gam Peg,BD+14   14,886,91781,7,I,',W,109.43,-46.68,B2IV,00,13,14.2,+,15,11,01
